,阅读,评论,标题,作者,最后更新
2,35,0,谁给你快乐，就要与谁在一起，谁给你痛苦，就要远离谁，人生苦短，不要把时间，浪费在,无爱的自爱,03-28 02:06
3,61,0,在股票市场，最重要、最容易被人忽视、最难以真正做到的是恪守炒股纪律，如果做到了，,股海淘金趋势为王,03-28 02:00
4,16228,248,《下周一攻击3432点》大盘60分钟金叉共振，大盘下周一至少会攻击3432点附近,短_炒_狐_狸,03-28 01:52
5,110,0,光伏建筑BIPV概念个股合集1、南玻A：国内最早进入太阳能光伏产业领域企业之一；,股海淘金趋势为王,03-28 01:43
6,2101,16,2021-03-26今天恢复了一点，浮盈8k。但整整跌了一个多月的时间，现在恢复,四皇夏洛特玲玲,03-28 01:37
7,109,0,星期五实盘操作。,卖萌打滚求关注,03-28 01:36
8,145,1,又到年报发布季了，关于即将到来的分红，不得不知的几个问题。首先，分红对长线投资者,股海淘金趋势为王,03-28 01:33
9,3211,12,下跌以后看时间，空间，结构，级别和基因！,君隆寶,03-28 01:30
10,272,2,对于股票，一定别抱有幻想，想着一夜暴富，这个还不如去买彩票，来的更快点[得意],可乐爱投资,03-28 01:22
11,101,0,头像修改后重新登陆还是修改前的头像，什么原因,annie89358,03-28 01:22
12,109,1,300120经纬辉开周一开盘不破9.5元进仓，短线10个点左右，以发此贴为证,东财网友27395136,03-28 01:21
13,774,9,抄底老K的“主动型短线基金”《K基金》，已于2021年3月26日急速建仓。《K基,抄底老K,03-28 01:19
14,588,12,我国中药注册二十几个国家引起世界哗然，在美二期临床试验进入尾期（转）,香港股市评论员,03-28 01:09
15,157,3,现在热点还在碳中和碳达峰主线，此概念已经涨了不小的一波，应该还有第二波。但此时此,股友F9vJLA,03-28 01:08
16,1833,43,东财帖吧已有半年多，感谢1.5万粉丝的支持鼓励，最近因为了没有写帖子动力，决定停,好运哥我来了,03-28 01:03
17,1605,3,重磅消息！$金风科技(SZ002202)$、三峡新能源（拟上市风光龙头）及其他合,价值投机交易理论,03-28 01:02
18,3897,31,继续简单的操作就是最好的操作,神剑SUN,03-28 00:57
19,333,3,第一次发帖请大家分析一下这是玩股票多久的二这些东西是该有形成自己的逻辑么？求解,股友IevFpS,03-28 00:53
20,2707,82,大盘好，送娇艳的花。心情好，对身体好。市场给机会。就勇敢，做好自己不与任何人比。,北京小影,03-28 00:51
21,2468,53,见底,酒无常山,03-28 00:51
22,1453,26,有多少和我一样，很是羡慕我家这狗子。待阿正$君正集团(SH601216)$阿广$,副主力,03-28 00:44
23,978,6,个股普遍回暖，反弹回暖符合预期，总体上看来依然还在阶段性底部震荡期$新疆交建(S,风飘絮,03-28 00:38
24,902,3,到顶了，信不信？,抑郁症患者张某人,03-28 00:30
25,141,2,中国GDP总量和人均GDP同时超过美国那一天股市会发生什么？欢迎竞猜我猜一个：那,股市之玩尽杀绝,03-28 00:29
26,2198,44,很久很久没见这内外这么统一飘红，我只想说下周继续反弹，白马调深了，那就是让你骑带,北京小影,03-28 00:21
27,1641,12,盘口说：上周大盘企稳，下周个股鲤鱼跳龙门！,盘口话语,03-28 00:20
28,683,9,刚才在家里看到一双阿迪打死。我还在骂。哪个250竟然穿阿迪打死。这不是神经病,自贡炒股养家,03-28 00:15
29,3781,50,第二轮杀跌的逻辑。3400点，你以为是底，其实这是半山腰，神机以为大盘将很快迎来,梦若神机V,03-28 00:12
30,1750,58,股市学者预测司马懿马哥，说股民贪心，司马懿马哥上个星期五开盘进入泰坦股份，11元,司马懿马哥,03-28 00:11
31,74522,2487,你永远赚不到超出你认知范围之外的钱，除非你有超好的运气。但是靠运气所赚到钱往往又,般若之彼岸,03-28 00:04
32,781,17,祈祷下周五万变十万吧然后还掉花呗再也不炒股了[哭][哭],亿万元户Uncle,03-28 00:02
33,12004,442,炒股8个月不到亏14万，年后到现在亏9万。借呗10万就要到期了，这下肯定还不上了,亿万元户Uncle,03-28 00:02
34,323,0,ETH：晚间行情分析：以太坊白盘一直处于一个震荡行情，以太坊晚间最低下跌了166,刘百万解币,03-28 00:01
35,148,1,为什么出名的证券交易书籍都是外国的？,御魂浴火,03-28 00:00
36,385,4,请教一下，本人有20万公积金，是存在还是拿出来投资股票好？,叫我老庄,03-27 23:58
37,111,0,今年主线只做一只股票，众泰汽车！,来发点小财,03-27 23:58
38,433,1,上周的期待，反弹是发生在本周，从周线看，绿了5周的市场，第六周最后一天收红，算对,二十K金,03-27 23:58
39,136,0,垃圾公司，利益输送，还不退市？战投解禁就清仓式减持。[怒][怒][怒]$上证指数,操盘必读,03-27 23:56
40,13720,285,周一收缩战线，坚守这个板块（3.26晚）,畅享快乐,03-27 23:56
41,1808,12,上证指数26日反弹中阳后，下周一何去何从,未言老师,03-27 23:53
42,2257,68,大家一起来广西吃酒席了，原汁原味！,只炒一万块,03-27 23:53
43,173,0,经过重组，轻装上阵的*ST天娱，业绩增长很快，扭亏了，还盈利不少，予测众债主以7,吉丰莲波贾工,03-27 23:50
44,161,0,我所了解市场的所有票里，除了资产注入或重组外，能预见的成长股中，格林美是首选最优,股友F9vJLA,03-27 23:50
45,6548,71,昨天的3344低点应该很容易预期并确认，是一个经典的5分钟两中枢背驰出一买。今天,佛光知顶底,03-27 23:50
46,153,0,九洲集团，具有清洁能源产业链，今年产业回收明显！碳中和碳达峰的真正受益股。,牛斗苍穹,03-27 23:49
47,1781,14,大盘而言，反弹有望短线延续，但中期市场仍不宜盲目乐观，短线可快进快出，长期布局仍,股友yuuki8806,03-27 23:49
48,3409,16,中国神华确实神了，10派18.1元，股息率10%，周五股价才涨3分钱，有点不给力,辉哥侃股,03-27 23:49
49,714,12,大家周末好。,苏州高手,03-27 23:48
50,135,0,转发,点石纳福de风清扬,03-27 23:47
51,3585,21,周五，在外围和利好的双重作用下，出现高开，反弹来临，至于反弹能否延续，还需要成交,投资之吻,03-27 23:47
52,429,1,今晚闲聊：碳中和的概念，最近热炒的碳中和题材，很多人并没有搞懂碳中和究竟是个什么,菜鸟学短线,03-27 23:46
53,174,0,周一暴跌，开盘就跑,Definition,03-27 23:44
54,240,0,增持评分65分东方财富(300059)0.59%打败了79%的股票短期：弱势下跌,全班都炒股,03-27 23:43
55,5344,111,感觉被调戏了，2月18日，持仓盈亏赚1234，2月19日，当日盈亏赚1234元，,就当自己是庄家,03-27 23:42
56,445,4,下周走势预测,大良造威武7739,03-27 23:42
57,160,0,小心为上,我是我蓝色星空,03-27 23:41
58,866,7,尽管我多年的经验，下周能上4000点,zlxuhugo,03-27 23:40
59,644,1,美国股市又大涨了，几乎马上又要创新高了！但是美国股市大涨就意味着大家都在赚钱吗？,操盘必读,03-27 23:40
60,212,0,说下我上周买的股，都是超短操作，基本都是第二天卖出，涨停板保留，高开走人。22-,佤山股神,03-27 23:40
61,12414,514,牛魔王牛年请客！,础润而雨,03-27 23:38
62,420,3,闲聊炒股与人生感悟人与人什么时候最投缘？相识女朋友时最迷人，相见恨晚，慧眼识珠，,股友璞玉顽石,03-27 23:34
63,229,3,“业绩标”将贯穿2021年始末。,麒麟之友,03-27 23:33
64,420,2,都说10个抄股的，7亏一平，两个人赚，大家看看我是亏还是赚,股友uJpETD,03-27 23:32
65,3500,183,盛装三月！[福][爱心][献花][献花][献花],张三立,03-27 23:30
66,5237,78,时间可以检验一切真理，茫然回首，你才知道谁才是行家。两句话记住。信神机，得永生。,梦若神机V,03-27 23:30
67,197,0,股市悟道，散户炒股经历了，追涨，抄底，打版，做板块龙，现在返璞归真，做一个低吸王,佤山股神,03-27 23:29
68,227,0,我觉得这个世界一片冰冷，突然间又春暖花开。我听到了心跳的声音。。。,花小快,03-27 23:23
69,44754,495,继续做多，等待目标到达,神剑SUN,03-27 23:21
70,215,0,抄底的机会来了，这波操作好可以涨百分之四十五左右，大家埋伏好。加油！,股友du88079680,03-27 23:21
71,254,0,当我们还沉浸在星期五大涨氛围内时，新的一轮房地产风暴又来临了，三部委严查经营贷短,庄子论,03-27 23:20
72,3174,90,今日,上上下下3000,03-27 23:18
73,2391,30,两市已经是地量了，蘑底还需要一个过程，反弹震荡是常态$蓝天燃气(SH605368,风飘絮,03-27 23:17
74,2135,35,信号！信号！信号已经出现！为什么说信号已经出现，请认真看前面的两个主贴(一个是上,新三味书屋,03-27 23:17
75,2945,45,昨天涨今天跌，这都不影响大盘已处于日线调整周期末端的事实，在这个位置反复是正常的,朝天阙TRT5151,03-27 23:16
76,1420,9,【银行突然要收回我的房屋抵押贷款，我的房子竟要被网上拍卖？房屋被查封现在我已无家,小白侃财经,03-27 23:14
77,210,0,想发财的，可以跟我进入，北巴传媒了……何时拉升，我有一定的话语权，何时停牌重大资,火爆叔,03-27 23:13
78,252,0,侮辱性极强对于煤炭行业来说，已经进入成熟期甚至衰退期，本来也没啥想象空间，但是架,西北高楼,03-27 23:12
79,218,0,【周六重大事件汇总】【时政新闻】国家统计局：1-2月份全国规模以上工业企业实现利,威廉欧奈尔,03-27 23:11
80,245,1,通欲重工！！一季度业绩大幅增长概率很大，调整基本接近尾声，美股已企稳，A股同样也,东财网友82685135,03-27 23:10
81,227,0,麦子：当前总仓位情况截图给关注我的朋友们参考。谢谢关注，希望我的投资理念和交易策,麦子投资,03-27 23:10
